cv_metric,osm_metric,pearson_r,p_value,significant
edge_density,building_count,0.2882,0.0,***
edge_density,poi_diversity,0.2821,0.0,***
edge_density,amenity_count,0.2766,0.0,***
edge_density,shop_count,0.2335,0.0,***
building_coverage,building_count,0.2117,0.0,***
building_coverage,poi_diversity,0.2062,0.0,***
building_coverage,amenity_count,0.1836,0.0,***
building_coverage,shop_count,0.1625,0.0,***
edge_density,leisure_count,0.1481,0.0,***
texture_entropy,building_count,0.1402,0.0,***
building_coverage,leisure_count,0.1121,0.0,***
texture_entropy,amenity_count,0.1076,0.0,***
texture_entropy,poi_diversity,0.0969,0.0001,***
texture_entropy,shop_count,0.0809,0.0014,**
texture_entropy,leisure_count,0.0584,0.0211,*
texture_entropy,road_length_total,-0.035,0.1668,
edge_density,building_area_mean,-0.0334,0.1875,
building_coverage,road_length_total,-0.027,0.2869,
building_coverage,building_area_mean,-0.023,0.3633,
edge_density,road_length_total,-0.0201,0.4277,
texture_entropy,building_area_mean,-0.01,0.6936,
