indicator,year,raw_value,raw_growth_index,correction_factor,corrected_growth_index,community_proxy
building_count,2018,21.7744,1.0,1.0,1.0,24.82
building_count,2019,18.7641,0.8618,1.0513,0.906,22.45
building_count,2020,25.1385,1.1545,0.9156,1.0571,29.6
building_count,2021,30.3692,1.3947,0.8385,1.1694,35.3
building_count,2022,46.3538,2.1288,0.694,1.4773,51.53
building_count,2023,86.5744,3.976,0.5189,2.0631,92.17
building_count,2024,106.0769,4.8716,0.4709,2.2941,111.9
building_count,2025,113.7077,5.2221,0.4554,2.3782,119.65
amenity_count,2018,2.1231,1.0,1.0,1.0,24.82
amenity_count,2019,2.6256,1.2367,1.0513,1.3002,22.45
amenity_count,2020,3.2821,1.5459,0.9156,1.4154,29.6
amenity_count,2021,3.6051,1.6981,0.8385,1.4238,35.3
amenity_count,2022,3.7077,1.7464,0.694,1.2119,51.53
amenity_count,2023,4.0051,1.8865,0.5189,0.9789,92.17
amenity_count,2024,4.1179,1.9396,0.4709,0.9134,111.9
amenity_count,2025,4.2256,1.9903,0.4554,0.9064,119.65
shop_count,2018,0.8256,1.0,1.0,1.0,24.82
shop_count,2019,0.9692,1.1739,1.0513,1.2342,22.45
shop_count,2020,1.0718,1.2981,0.9156,1.1886,29.6
shop_count,2021,1.1846,1.4348,0.8385,1.203,35.3
shop_count,2022,1.3282,1.6087,0.694,1.1164,51.53
shop_count,2023,1.4154,1.7143,0.5189,0.8895,92.17
shop_count,2024,1.5231,1.8447,0.4709,0.8687,111.9
shop_count,2025,1.5333,1.8571,0.4554,0.8458,119.65
poi_diversity,2018,0.2666,1.0,1.0,1.0,24.82
poi_diversity,2019,0.2845,1.0672,1.0513,1.122,22.45
poi_diversity,2020,0.2875,1.0783,0.9156,0.9873,29.6
poi_diversity,2021,0.3111,1.1668,0.8385,0.9783,35.3
poi_diversity,2022,0.3202,1.2012,0.694,0.8336,51.53
poi_diversity,2023,0.368,1.3804,0.5189,0.7163,92.17
poi_diversity,2024,0.385,1.4442,0.4709,0.6801,111.9
poi_diversity,2025,0.3825,1.4346,0.4554,0.6533,119.65
