year,indicator,n_points,I,E_I,Var_I,z_score,p_value,interpretation
2018,building_count,195,0.2367,-0.0052,0.000936,7.906,0.0,clustered (high-high / low-low)
2018,amenity_count,195,0.3038,-0.0052,0.001422,8.194,0.0,clustered (high-high / low-low)
2018,shop_count,195,0.1976,-0.0052,0.001316,5.589,0.0,clustered (high-high / low-low)
2018,poi_diversity,195,0.3095,-0.0052,0.001484,8.168,0.0,clustered (high-high / low-low)
2019,edge_density,195,0.8956,-0.0052,0.001487,23.357,0.0,clustered (high-high / low-low)
2019,building_coverage,195,0.8686,-0.0052,0.001486,22.666,0.0,clustered (high-high / low-low)
2019,texture_entropy,195,0.8967,-0.0052,0.001486,23.392,0.0,clustered (high-high / low-low)
2019,building_count,195,0.3568,-0.0052,0.001423,9.595,0.0,clustered (high-high / low-low)
2019,amenity_count,195,0.3554,-0.0052,0.001399,9.639,0.0,clustered (high-high / low-low)
2019,shop_count,195,0.226,-0.0052,0.001323,6.354,0.0,clustered (high-high / low-low)
2019,poi_diversity,195,0.3044,-0.0052,0.001487,8.03,0.0,clustered (high-high / low-low)
2020,edge_density,195,0.9052,-0.0052,0.001489,23.588,0.0,clustered (high-high / low-low)
2020,building_coverage,195,0.7301,-0.0052,0.001486,19.073,0.0,clustered (high-high / low-low)
2020,texture_entropy,195,0.9077,-0.0052,0.001488,23.669,0.0,clustered (high-high / low-low)
2020,building_count,195,0.351,-0.0052,0.001431,9.414,0.0,clustered (high-high / low-low)
2020,amenity_count,195,0.3229,-0.0052,0.001414,8.724,0.0,clustered (high-high / low-low)
2020,shop_count,195,0.2205,-0.0052,0.001367,6.104,0.0,clustered (high-high / low-low)
2020,poi_diversity,195,0.3005,-0.0052,0.001487,7.926,0.0,clustered (high-high / low-low)
2021,edge_density,195,0.9054,-0.0052,0.001487,23.617,0.0,clustered (high-high / low-low)
2021,building_coverage,195,0.8562,-0.0052,0.001483,22.366,0.0,clustered (high-high / low-low)
2021,texture_entropy,195,0.8946,-0.0052,0.001486,23.341,0.0,clustered (high-high / low-low)
2021,building_count,195,0.3804,-0.0052,0.001438,10.167,0.0,clustered (high-high / low-low)
2021,amenity_count,195,0.3456,-0.0052,0.001413,9.329,0.0,clustered (high-high / low-low)
2021,shop_count,195,0.2199,-0.0052,0.001371,6.079,0.0,clustered (high-high / low-low)
2021,poi_diversity,195,0.3207,-0.0052,0.001489,8.446,0.0,clustered (high-high / low-low)
2022,building_count,195,0.3334,-0.0052,0.001408,9.025,0.0,clustered (high-high / low-low)
2022,amenity_count,195,0.3583,-0.0052,0.001419,9.647,0.0,clustered (high-high / low-low)
2022,shop_count,195,0.2462,-0.0052,0.0014,6.716,0.0,clustered (high-high / low-low)
2022,poi_diversity,195,0.3511,-0.0052,0.001489,9.231,0.0,clustered (high-high / low-low)
2023,edge_density,195,0.9056,-0.0052,0.001487,23.62,0.0,clustered (high-high / low-low)
2023,building_coverage,195,0.8648,-0.0052,0.001484,22.585,0.0,clustered (high-high / low-low)
2023,texture_entropy,195,0.9104,-0.0052,0.001484,23.768,0.0,clustered (high-high / low-low)
2023,building_count,195,0.3534,-0.0052,0.001187,10.406,0.0,clustered (high-high / low-low)
2023,amenity_count,195,0.3446,-0.0052,0.001425,9.264,0.0,clustered (high-high / low-low)
2023,shop_count,195,0.2326,-0.0052,0.001404,6.345,0.0,clustered (high-high / low-low)
2023,poi_diversity,195,0.3057,-0.0052,0.001491,8.051,0.0,clustered (high-high / low-low)
2024,edge_density,195,0.9075,-0.0052,0.001487,23.668,0.0,clustered (high-high / low-low)
2024,building_coverage,195,0.8664,-0.0052,0.001483,22.635,0.0,clustered (high-high / low-low)
2024,texture_entropy,195,0.9121,-0.0052,0.001484,23.808,0.0,clustered (high-high / low-low)
2024,building_count,195,0.4757,-0.0052,0.001218,13.779,0.0,clustered (high-high / low-low)
2024,amenity_count,195,0.3363,-0.0052,0.001431,9.026,0.0,clustered (high-high / low-low)
2024,shop_count,195,0.2563,-0.0052,0.001418,6.942,0.0,clustered (high-high / low-low)
2024,poi_diversity,195,0.2971,-0.0052,0.001492,7.825,0.0,clustered (high-high / low-low)
2025,edge_density,195,0.9084,-0.0052,0.001485,23.704,0.0,clustered (high-high / low-low)
2025,building_coverage,195,0.8667,-0.0052,0.001482,22.644,0.0,clustered (high-high / low-low)
2025,texture_entropy,195,0.9114,-0.0052,0.001483,23.801,0.0,clustered (high-high / low-low)
2025,building_count,195,0.4727,-0.0052,0.001238,13.584,0.0,clustered (high-high / low-low)
2025,amenity_count,195,0.349,-0.0052,0.001437,9.343,0.0,clustered (high-high / low-low)
2025,shop_count,195,0.2577,-0.0052,0.001419,6.978,0.0,clustered (high-high / low-low)
2025,poi_diversity,195,0.287,-0.0052,0.001492,7.565,0.0,clustered (high-high / low-low)
