indicator,n_years,best_break_year,F_stat,p_value,tau_index,RSS_full,RSS1,RSS2
amenity_count,8,2021,46.7144,0.0017,3,0.355125,0.003945,0.010635
building_area_mean,8,2020,31.6022,0.0035,2,66087.612254,0.0,3933.530763
shop_count,8,2024,19.2085,0.0089,6,0.00928,0.000875,0.0
building_count,8,2023,17.9412,0.0101,5,1274.600324,104.346117,23.489919
poi_diversity,8,2023,10.6579,0.025,5,0.000859,7.2e-05,6.4e-05
ssim,7,2022,10.4289,0.0446,3,0.764173,0.050136,0.045956
resnet_cosine_dist,7,2022,4.862,0.1145,3,0.636083,0.055897,0.094075
building_coverage,8,2022,2.5193,0.1958,4,0.069628,0.011858,0.018956
edge_density,8,2022,2.4831,0.199,4,0.020981,0.001428,0.007932
texture_entropy,8,2022,2.4078,0.2059,4,12.185543,2.464305,3.064747
